"PHONESERVICE","MULTIPLELINES","INTERNETSERVICE","ONLINESECURITY","ONLINEBACKUP","DEVICEPROTECTION","TECHSUPPORT","STREAMINGTV","STREAMINGMOVIES","CHURN","USERS"
"No","No phone service","DSL","No","No","No","No","No","No","No","38"
"No","No phone service","DSL","No","No","No","No","No","No","Yes","30"
"No","No phone service","DSL","No","No","No","No","No","No","","68"
"No","No phone service","DSL","No","No","No","No","No","Yes","No","5"
"No","No phone service","DSL","No","No","No","No","No","Yes","Yes","12"
"No","No phone service","DSL","No","No","No","No","No","Yes","","17"
"No","No phone service","DSL","No","No","No","No","No","","","85"
"No","No phone service","DSL","No","No","No","No","Yes","No","No","2"
"No","No phone service","DSL","No","No","No","No","Yes","No","Yes","7"
"No","No phone service","DSL","No","No","No","No","Yes","No","","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","No","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","Yes","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","","18"
"No","No phone service","DSL","No","No","No","No","Yes","","","27"
"No","No phone service","DSL","No","No","No","No","","","","112"
"No","No phone service","DSL","No","No","No","Yes","No","No","No","15"
"No","No phone service","DSL","No","No","No","Yes","No","No","Yes","6"
"No","No phone service","DSL","No","No","No","Yes","No","No","","21"
"No","No phone service","DSL","No","No","No","Yes","No","Yes","No","3"
"No","No phone service","DSL","No","No","No","Yes","No","Yes","","3"
"No","No phone service","DSL","No","No","No","Yes","No","","","24"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","No","3"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","Yes","2"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","","5"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","No","3"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Yes","2"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","","5"
"No","No phone service","DSL","No","No","No","Yes","Yes","","","10"
"No","No phone service","DSL","No","No","No","Yes","","","","34"
"No","No phone service","DSL","No","No","No","","","","","146"
"No","No phone service","DSL","No","No","Yes","No","No","No","No","6"
"No","No phone service","DSL","No","No","Yes","No","No","No","Yes","5"
"No","No phone service","DSL","No","No","Yes","No","No","No","","11"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","No","2"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","Yes","4"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","","6"
"No","No phone service","DSL","No","No","Yes","No","No","","","17"
"No","No phone service","DSL","No","No","Yes","No","Yes","No","Yes","4"
"No","No phone service","DSL","No","No","Yes","No","Yes","No","","4"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","No","12"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Yes","9"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","","21"
"No","No phone service","DSL","No","No","Yes","No","Yes","","","25"
"No","No phone service","DSL","No","No","Yes","No","","","","42"
"No","No phone service","DSL","No","No","Yes","Yes","No","No","No","10"
"No","No phone service","DSL","No","No","Yes","Yes","No","No","","10"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","No","3"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","Yes","1"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","","4"
"No","No phone service","DSL","No","No","Yes","Yes","No","","","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","No","No","3"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","No","","3"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","No","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","","","17"
"No","No phone service","DSL","No","No","Yes","Yes","","","","31"
"No","No phone service","DSL","No","No","Yes","","","","","73"
"No","No phone service","DSL","No","No","","","","","","219"
"No","No phone service","DSL","No","Yes","No","No","No","No","No","18"
"No","No phone service","DSL","No","Yes","No","No","No","No","Yes","10"
"No","No phone service","DSL","No","Yes","No","No","No","No","","28"
"No","No phone service","DSL","No","Yes","No","No","No","Yes","No","5"
"No","No phone service","DSL","No","Yes","No","No","No","Yes","Yes","2"
"No","No phone service","DSL","No","Yes","No","No","No","Yes","","7"
"No","No phone service","DSL","No","Yes","No","No","No","","","35"
"No","No phone service","DSL","No","Yes","No","No","Yes","No","No","3"
"No","No phone service","DSL","No","Yes","No","No","Yes","No","Yes","2"
"No","No phone service","DSL","No","Yes","No","No","Yes","No","","5"
"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","No","9"
"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Yes","6"
"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","","15"
"No","No phone service","DSL","No","Yes","No","No","Yes","","","20"
"No","No phone service","DSL","No","Yes","No","No","","","","55"
"No","No phone service","DSL","No","Yes","No","Yes","No","No","No","11"
"No","No phone service","DSL","No","Yes","No","Yes","No","No","Yes","2"
"No","No phone service","DSL","No","Yes","No","Yes","No","No","","13"
"No","No phone service","DSL","No","Yes","No","Yes","No","Yes","No","2"
"No","No phone service","DSL","No","Yes","No","Yes","No","Yes","Yes","1"
"No","No phone service","DSL","No","Yes","No","Yes","No","Yes","","3"
"No","No phone service","DSL","No","Yes","No","Yes","No","","","16"
"No","No phone service","DSL","No","Yes","No","Yes","Yes","No","No","2"
"No","No phone service","DSL","No","Yes","No","Yes","Yes","No","","2"
"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","No","2"
"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","","2"
"No","No phone service","DSL","No","Yes","No","Yes","Yes","","","4"
"No","No phone service","DSL","No","Yes","No","Yes","","","","20"
"No","No phone service","DSL","No","Yes","No","","","","","75"
"No","No phone service","DSL","No","Yes","Yes","No","No","No","No","6"
"No","No phone service","DSL","No","Yes","Yes","No","No","No","Yes","2"
"No","No phone service","DSL","No","Yes","Yes","No","No","No","","8"
"No","No phone service","DSL","No","Yes","Yes","No","No","Yes","No","5"
"No","No phone service","DSL","No","Yes","Yes","No","No","Yes","Yes","3"
"No","No phone service","DSL","No","Yes","Yes","No","No","Yes","","8"
"No","No phone service","DSL","No","Yes","Yes","No","No","","","16"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","No","3"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","","3"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","No","11"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Yes","4"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","","15"
"No","No phone service","DSL","No","Yes","Yes","No","Yes","","","18"
"No","No phone service","DSL","No","Yes","Yes","No","","","","34"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","No","No","5"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","No","Yes","1"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","No","","6"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","Yes","No","3"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","Yes","","3"
"No","No phone service","DSL","No","Yes","Yes","Yes","No","","","9"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No","No","4"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No","","4"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","No","16"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Yes","2"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","","18"
"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","","","22"
"No","No phone service","DSL","No","Yes","Yes","Yes","","","","31"
"No","No phone service","DSL","No","Yes","Yes","","","","","65"
"No","No phone service","DSL","No","Yes","","","","","","140"
"No","No phone service","DSL","No","","","","","","","359"
"No","No phone service","DSL","Yes","No","No","No","No","No","No","15"
"No","No phone service","DSL","Yes","No","No","No","No","No","Yes","4"
"No","No phone service","DSL","Yes","No","No","No","No","No","","19"
"No","No phone service","DSL","Yes","No","No","No","No","Yes","No","3"
"No","No phone service","DSL","Yes","No","No","No","No","Yes","Yes","2"
"No","No phone service","DSL","Yes","No","No","No","No","Yes","","5"
"No","No phone service","DSL","Yes","No","No","No","No","","","24"
"No","No phone service","DSL","Yes","No","No","No","Yes","No","No","5"
"No","No phone service","DSL","Yes","No","No","No","Yes","No","","5"
"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","No","4"
"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","","4"
"No","No phone service","DSL","Yes","No","No","No","Yes","","","9"
"No","No phone service","DSL","Yes","No","No","No","","","","33"
"No","No phone service","DSL","Yes","No","No","Yes","No","No","No","16"
"No","No phone service","DSL","Yes","No","No","Yes","No","No","Yes","2"
"No","No phone service","DSL","Yes","No","No","Yes","No","No","","18"
"No","No phone service","DSL","Yes","No","No","Yes","No","Yes","No","4"
"No","No phone service","DSL","Yes","No","No","Yes","No","Yes","","4"
"No","No phone service","DSL","Yes","No","No","Yes","No","","","22"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","No","No","6"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","No","Yes","1"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","No","","7"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","Yes","No","2"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","Yes","Yes","1"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","Yes","","3"
"No","No phone service","DSL","Yes","No","No","Yes","Yes","","","10"
"No","No phone service","DSL","Yes","No","No","Yes","","","","32"
"No","No phone service","DSL","Yes","No","No","","","","","65"
"No","No phone service","DSL","Yes","No","Yes","No","No","No","No","11"
"No","No phone service","DSL","Yes","No","Yes","No","No","No","","11"
"No","No phone service","DSL","Yes","No","Yes","No","No","Yes","No","5"
"No","No phone service","DSL","Yes","No","Yes","No","No","Yes","Yes","1"
"No","No phone service","DSL","Yes","No","Yes","No","No","Yes","","6"
"No","No phone service","DSL","Yes","No","Yes","No","No","","","17"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","No","No","1"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","No","","1"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","No","7"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","Yes","1"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","","8"
"No","No phone service","DSL","Yes","No","Yes","No","Yes","","","9"
"No","No phone service","DSL","Yes","No","Yes","No","","","","26"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","No","12"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Yes","1"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","","13"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","Yes","No","5"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","Yes","Yes","1"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","Yes","","6"
"No","No phone service","DSL","Yes","No","Yes","Yes","No","","","19"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","No","No","4"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","No","","4"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","No","16"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Yes","1"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","","17"
"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","","","21"
"No","No phone service","DSL","Yes","No","Yes","Yes","","","","40"
"No","No phone service","DSL","Yes","No","Yes","","","","","66"
"No","No phone service","DSL","Yes","No","","","","","","131"
"No","No phone service","DSL","Yes","Yes","No","No","No","No","No","7"
"No","No phone service","DSL","Yes","Yes","No","No","No","No","Yes","2"
"No","No phone service","DSL","Yes","Yes","No","No","No","No","","9"
"No","No phone service","DSL","Yes","Yes","No","No","No","Yes","No","3"
"No","No phone service","DSL","Yes","Yes","No","No","No","Yes","Yes","1"
"No","No phone service","DSL","Yes","Yes","No","No","No","Yes","","4"
"No","No phone service","DSL","Yes","Yes","No","No","No","","","13"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","No","No","6"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","No","","6"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","No","2"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","Yes","1"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","","3"
"No","No phone service","DSL","Yes","Yes","No","No","Yes","","","9"
"No","No phone service","DSL","Yes","Yes","No","No","","","","22"
"No","No phone service","DSL","Yes","Yes","No","Yes","No","No","No","15"
"No","No phone service","DSL","Yes","Yes","No","Yes","No","No","","15"
"No","No phone service","DSL","Yes","Yes","No","Yes","No","Yes","No","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","No","Yes","","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","No","","","18"
"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","No","No","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","No","","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","Yes","No","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","Yes","","3"
"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","","","6"
"No","No phone service","DSL","Yes","Yes","No","Yes","","","","24"
"No","No phone service","DSL","Yes","Yes","No","","","","","46"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","No","7"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Yes","2"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","","9"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","Yes","No","3"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","Yes","","3"
"No","No phone service","DSL","Yes","Yes","Yes","No","No","","","12"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","No","No","2"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","No","","2"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","No","9"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Yes","2"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","","11"
"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","","","13"
"No","No phone service","DSL","Yes","Yes","Yes","No","","","","25"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","No","8"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Yes","1"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","","9"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes","No","9"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes","","9"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","","","18"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","No","5"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","","5"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No","21"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","","21"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","","","26"
"No","No phone service","DSL","Yes","Yes","Yes","Yes","","","","44"
"No","No phone service","DSL","Yes","Yes","Yes","","","","","69"
"No","No phone service","DSL","Yes","Yes","","","","","","115"
"No","No phone service","DSL","Yes","","","","","","","246"
"No","No phone service","DSL","","","","","","","","605"
"No","No phone service","","","","","","","","","605"
"No","","","","","","","","","","605"
"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","951"
"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","88"
"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","","1039"
"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","","","1039"
"Yes","No","No","No internet service","No internet service","No internet service","No internet service","","","","1039"
"Yes","No","No","No internet service","No internet service","No internet service","","","","","1039"
"Yes","No","No","No internet service","No internet service","","","","","","1039"
"Yes","No","No","No internet service","","","","","","","1039"
"Yes","No","No","","","","","","","","1039"
"Yes","No","DSL","No","No","No","No","No","No","No","93"
"Yes","No","DSL","No","No","No","No","No","No","Yes","59"
"Yes","No","DSL","No","No","No","No","No","No","","152"
"Yes","No","DSL","No","No","No","No","No","Yes","No","9"
"Yes","No","DSL","No","No","No","No","No","Yes","Yes","7"
"Yes","No","DSL","No","No","No","No","No","Yes","","16"
"Yes","No","DSL","No","No","No","No","No","","","168"
"Yes","No","DSL","No","No","No","No","Yes","No","No","12"
"Yes","No","DSL","No","No","No","No","Yes","No","Yes","7"
"Yes","No","DSL","No","No","No","No","Yes","No","","19"
"Yes","No","DSL","No","No","No","No","Yes","Yes","No","8"
"Yes","No","DSL","No","No","No","No","Yes","Yes","Yes","3"
"Yes","No","DSL","No","No","No","No","Yes","Yes","","11"
"Yes","No","DSL","No","No","No","No","Yes","","","30"
"Yes","No","DSL","No","No","No","No","","","","198"
"Yes","No","DSL","No","No","No","Yes","No","No","No","27"
"Yes","No","DSL","No","No","No","Yes","No","No","Yes","10"
"Yes","No","DSL","No","No","No","Yes","No","No","","37"
"Yes","No","DSL","No","No","No","Yes","No","Yes","No","5"
"Yes","No","DSL","No","No","No","Yes","No","Yes","Yes","1"
"Yes","No","DSL","No","No","No","Yes","No","Yes","","6"
"Yes","No","DSL","No","No","No","Yes","No","","","43"
"Yes","No","DSL","No","No","No","Yes","Yes","No","No","5"
"Yes","No","DSL","No","No","No","Yes","Yes","No","Yes","3"
"Yes","No","DSL","No","No","No","Yes","Yes","No","","8"
"Yes","No","DSL","No","No","No","Yes","Yes","Yes","No","5"
"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Yes","2"
"Yes","No","DSL","No","No","No","Yes","Yes","Yes","","7"
"Yes","No","DSL","No","No","No","Yes","Yes","","","15"
"Yes","No","DSL","No","No","No","Yes","","","","58"
"Yes","No","DSL","No","No","No","","","","","256"
"Yes","No","DSL","No","No","Yes","No","No","No","No","14"
"Yes","No","DSL","No","No","Yes","No","No","No","Yes","13"
"Yes","No","DSL","No","No","Yes","No","No","No","","27"
